site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K
ST4,Stable,ST4 S1,clear,1.5,2023-10-10,11:40:15,11:43:30,,,,,,,,,,,,
ST4,Stable,ST4 S1,dark,1.5,2023-10-10,11:44:00,11:47:15,,,,,,,,,,,,
ST4,Stable,ST4 S1,soil,pvc,2023-10-10,11:34:15,11:37:15,,,,,,,,,,,,
ST4,Stable,ST4 S2,clear,1.5,2023-10-10,11:58:30,12:01:45,,,,,,,,,,,,
ST4,Stable,ST4 S2,dark,1.5,2023-10-10,12:02:15,12:05:30,,,,,,,,,,,,
ST4,Stable,ST4 S2,soil,pvc,2023-10-10,11:53:15,11:56:00,,,,,,,,,,,,
ST4,Stable,ST4 S3,clear,1.5,2023-10-10,12:32:00,12:35:45,,,,,,,,,,,,
ST4,Stable,ST4 S3,dark,1.5,2023-10-10,12:37:00,12:40:00,,,,,,,,,,,,
ST4,Stable,ST4 S3,soil,pvc,2023-10-10,12:23:15,12:26:30,,,,,,,,,,,,
ST4,Unstable,ST4 U1,clear,1.5,2023-10-10,10:35:45,10:39:00,,,,,,,,,,,,
ST4,Unstable,ST4 U1,dark,1.5,2023-10-10,10:40:00,10:43:00,,,,,,,,,,,,
ST4,Unstable,ST4 U1,soil,pvc,2023-10-10,10:28:45,10:32:00,,,,,,,,,,,,
ST4,Unstable,ST4 U2,clear,1.5,2023-10-10,10:55:15,10:58:45,,,,,,,,,,,,
ST4,Unstable,ST4 U2,dark,1.5,2023-10-10,10:59:30,11:02:45,,,,,,,,,,,,
ST4,Unstable,ST4 U2,soil,pvc,2023-10-10,10:49:45,10:53:00,,,,,,,,,,,,
ST4,Unstable,ST4 U3,clear,1.5,2023-10-10,11:19:15,11:23:15,,,,,,,,,,,,
ST4,Unstable,ST4 U3,dark,1.5,2023-10-10,11:24:00,11:27:30,,,,,,,,,,,,
ST4,Unstable,ST4 U3,soil,pvc,2023-10-10,11:13:00,11:16:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
