site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K,
ST2,Unstable,ST2 U1,soil,pvc,2023-10-10,15:04:15,15:07:15,2023-10-10 15:06:45,2023-10-10 15:09:45,20.84,<0.0001,0.000005,HMR,15.44,<0.0001,0.0202,HMR,24.44,297.6,
ST2,Unstable,ST2 U2,clear,1.5,2023-10-10,14:03:30,14:06:30,2023-10-10 14:04:15,2023-10-10 14:05:15,72.17,<0.0001,0.000012,HMR,-31.04,<0.0001,0.0038,LM,24.44,297.6,
ST2,Unstable,ST2 U2,dark,1.5,2023-10-10,14:08:30,14:11:30,2023-10-10 14:09:00,2023-10-10 14:11:30,-1.78,<0.0001,0.000001,LM,33.75,<0.0001,0.0041,HMR,24.44,297.6,
ST2,Unstable,ST2 U2,soil,pvc,2023-10-10,13:57:45,14:00:45,2023-10-10 13:59:00,2023-10-10 14:00:45,109.48,0.0001,0.000063,HMR,6.93,<0.0001,0.0055,HMR,24.44,297.6,
ST2,Unstable,ST2 U3,clear,1.5,2023-10-10,13:24:30,13:27:30,2023-10-10 13:24:30,2023-10-10 13:27:30,8.32,<0.0001,0.000001,LM,-13.67,<0.0001,0.0029,HMR,23.89,297.0,
ST2,Unstable,ST2 U3,dark,1.5,2023-10-10,13:29:00,13:33:30,2023-10-10 13:29:00,2023-10-10 13:32:00,7.16,<0.0001,0.0000,LM,9.56,<0.0001,0.0022,LM,24.44,297.6,
ST2,Unstable,ST2 U3,soil,pvc,2023-10-10,13:18:45,13:21:45,2023-10-10 13:18:45,2023-10-10 13:21:45,10.32,<0.0001,0.000001,LM,-2.02,<0.0001,0.0011,LM,23.89,297.0,
ST4,Stable,ST4 S1,clear,1.5,2023-10-10,11:40:15,11:43:30,2023-10-10 11:40:30,2023-10-10 11:43:30,9.72,<0.0001,0.000000,LM,-9.13,<0.0001,0.0010,LM,23.89,297.0,
ST4,Stable,ST4 S1,dark,1.5,2023-10-10,11:44:00,11:47:15,2023-10-10 11:44:00,2023-10-10 11:47:00,6.47,<0.0001,0.000000,LM,10.78,<0.0001,0.0011,LM,23.89,297.0,
ST4,Stable,ST4 S1,soil,pvc,2023-10-10,11:34:15,11:37:15,2023-10-10 11:34:15,2023-10-10 11:37:15,9.83,<0.0001,0.000001,HMR,4.62,<0.0001,0.0163,HMR,23.89,297.0,
ST4,Stable,ST4 S2,clear,1.5,2023-10-10,11:58:30,12:01:45,2023-10-10 11:58:30,2023-10-10 12:01:30,29.77,<0.0001,0.000010,HMR,-7.97,<0.0001,0.0009,LM,23.89,297.0,
ST4,Stable,ST4 S2,dark,1.5,2023-10-10,12:02:15,12:05:30,2023-10-10 12:02:45,2023-10-10 12:05:45,16.28,<0.0001,0.000003,HMR,10.16,<0.0001,0.0007,LM,23.89,297.0,
ST4,Stable,ST4 S2,soil,pvc,2023-10-10,11:53:15,11:56:00,2023-10-10 11:53:30,2023-10-10 11:56:00,4.92,<0.0001,0.000001,HMR,5.99,<0.0001,0.0069,HMR,23.89,297.0,
ST4,Stable,ST4 S3,clear,1.5,2023-10-10,12:32:00,12:35:45,2023-10-10 12:33:00,2023-10-10 12:35:45,1.40,<0.0001,0.000000,LM,-2.05,<0.0001,0.0006,LM,23.89,297.0,
ST4,Stable,ST4 S3,dark,1.5,2023-10-10,12:37:00,12:40:05,2023-10-10 12:37:00,2023-10-10 12:40:00,5.05,<0.0001,0.000001,HMR,11.10,<0.0001,0.0026,HMR,23.89,297.0,
ST4,Stable,ST4 S3,soil,pvc,2023-10-10,12:23:15,12:26:30,2023-10-10 12:23:30,2023-10-10 12:26:30,35.80,<0.0001,0.000013,HMR,19.22,<0.0001,0.0244,HMR,23.89,297.0,
ST4,Unstable,ST4 U1,clear,1.5,2023-10-10,10:35:45,10:39:00,2023-10-10 10:36:00,2023-10-10 10:39:00,36.13,<0.0001,0.000004,HMR,-7.93,<0.0001,0.0006,LM,23.33,296.5,
ST4,Unstable,ST4 U1,dark,1.5,2023-10-10,10:40:00,10:43:00,2023-10-10 10:41:00,2023-10-10 10:43:00,13.38,<0.0001,0.000001,LM,6.31,<0.0001,0.0023,LM,23.33,296.5,
ST4,Unstable,ST4 U1,soil,pvc,2023-10-10,10:28:45,10:32:00,2023-10-10 10:29:30,2023-10-10 10:31:30,55.01,<0.0001,0.000008,HMR,6.61,<0.0001,0.0082,HMR,23.33,296.5,
ST4,Unstable,ST4 U2,clear,1.5,2023-10-10,10:55:15,10:58:45,2023-10-10 10:55:45,2023-10-10 10:58:45,20.62,<0.0001,0.000002,HMR,-7.99,<0.0001,0.0005,LM,23.33,296.5,
ST4,Unstable,ST4 U2,dark,1.5,2023-10-10,10:59:30,11:02:45,2023-10-10 10:59:30,2023-10-10 11:02:30,19.76,<0.0001,0.000003,HMR,6.01,<0.0001,0.0014,LM,23.33,296.5,
ST4,Unstable,ST4 U2,soil,pvc,2023-10-10,10:49:45,10:53:00,2023-10-10 10:49:45,2023-10-10 10:53:00,48.65,<0.0001,0.000007,HMR,7.83,<0.0001,0.0134,HMR,23.33,296.5,
ST4,Unstable,ST4 U3,clear,1.5,2023-10-10,11:19:15,11:23:15,2023-10-10 11:19:30,2023-10-10 11:22:30,22.64,<0.0001,0.000001,LM,-16.17,<0.0001,0.0040,HMR,23.33,296.5,
ST4,Unstable,ST4 U3,dark,1.5,2023-10-10,11:24:00,11:27:30,2023-10-10 11:24:00,2023-10-10 11:27:30,32.96,<0.0001,0.000006,HMR,12.52,<0.0001,0.0010,LM,23.33,296.5,
ST4,Unstable,ST4 U3,soil,pvc,2023-10-10,11:13:00,11:16:00,2023-10-10 11:13:15,2023-10-10 11:16:00,10.16,<0.0001,0.000003,HMR,1.88,<0.0001,0.0042,HMR,23.33,296.5,
A1,B1,A1 B1, ,bucket,2023-10-09,12:47:30,12:50:45,2023-10-09 12:47:45,2023-10-09 12:50:45,18.48,<0.0001,0.000004,HMR,-2.90,<0.0001,0.0017,LM,22.78,295.9,
A1,B2,A1 B2, ,bucket,2023-10-09,13:04:30,13:07:45,2023-10-09 13:04:45,2023-10-09 13:07:45,45.50,<0.0001,0.000203,HMR,-1.31,0.06,0.0162,LM,23.33,296.5,
A1,B3,A1 B3, ,bucket,2023-10-09,12:58:30,13:01:45,2023-10-09 12:58:45,2023-10-09 13:01:45,2.51,<0.0001,0.000011,LM,-11.27,0.171,0.1930,HMR,23.33,296.5,
A1,B4,A1 B4, ,bucket,2023-10-09,12:53:45,12:57:15,2023-10-09 12:54:15,2023-10-09 12:57:15,25.56,<0.0001,0.000099,HMR,-3.13,<0.0001,0.0142,LM,23.33,296.5,
A2,B1,A2 B1, ,bucket,2023-10-09,12:34:15,12:37:00,2023-10-09 12:34:15,2023-10-09 12:37:00,-2.72,<0.0001,0.000005,LM,5.83,<0.0001,0.0151,HMR,22.78,295.9,
A2,B2,A2 B2, ,bucket,2023-10-09,12:28:00,12:31:15,2023-10-09 12:28:00,2023-10-09 12:30:45,3.28,0.0137,0.000031,LM,-74.70,0.18,1.3000,HMR,22.78,295.9,
A2,B3,A2 B3, ,bucket,2023-10-09,12:17:30,12:20:30,2023-10-09 12:17:30,2023-10-09 12:20:30,9.63,0.0371,0.000108,LM,-1.96,0.805,0.1860,LM,22.78,295.9,
A2,B4,A2 B4, ,bucket,2023-10-09,12:22:30,12:25:45,2023-10-09 12:22:30,2023-10-09 12:25:45,1.43,0.299,0.000032,LM,-1.79,0.413,0.0513,LM,22.78,295.9,
A3,B1,A3 B1, ,bucket,2023-10-09,11:39:30,11:46:30,2023-10-09 11:39:30,2023-10-09 11:46:30,2.65,<0.0001,0.000007,LM,-1.72,0.0846,0.0233,LM,22.22,295.4,
A3,B2,A3 B2, ,bucket,2023-10-09,11:49:45,11:53:00,2023-10-09 11:50:00,2023-10-09 11:53:00,-16.57,<0.0001,0.000072,LM,-14.60,<0.0001,0.0759,LM,22.22,295.4,
A3,B3,A3 B3, ,bucket,2023-10-09,11:58:30,12:01:30,2023-10-09 11:58:30,2023-10-09 12:01:30,40.50,2.84E-13,0.000121,LM,11.72,<0.0001,0.0471,LM,22.78,295.9,
A3,B4,A3 B4, ,bucket,2023-10-09,12:03:15,12:06:15,2023-10-09 12:03:30,2023-10-09 12:06:15,25.49,0.212,0.000479,LM,-5.15,0.2,0.0941,LM,22.78,295.9,
A4,B1,A4 B1, ,bucket,2023-10-09,11:26:30,11:29:45,2023-10-09 11:26:30,2023-10-09 11:29:45,-0.29,0.0955,0.000004,LM,-1.81,<0.0001,0.0043,LM,22.22,295.4,
A4,B2,A4 B2, ,bucket,2023-10-09,11:21:00,11:24:15,2023-10-09 11:21:00,2023-10-09 11:24:15,21.86,<0.0001,0.000038,HMR,-5.94,<0.0001,0.0046,LM,22.22,295.4,
A4,B3,A4 B3, ,bucket,2023-10-09,11:16:15,11:19:30,2023-10-09 11:16:15,2023-10-09 11:19:30,47.77,<0.0001,0.000014,HMR,-6.22,<0.0001,0.0019,LM,22.22,295.4,
A4,B4,A4 B4, ,bucket,2023-10-09,11:11:29,11:15:04,2023-10-09 11:11:30,2023-10-09 11:14:45,46.23,<0.0001,0.000041,HMR,-17.54,<0.0001,<0.0001,HMR,22.22,295.4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
