site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K
ST2,Stable,ST2 S2,clear,1.5,2023-07-11,14:33:18,14:36:37,2023-07-11 14:34:15,2023-07-11 14:35:15,153.24,<0.0001,0.000082,HMR,-30.87,<0.0001,0.0043,LM,28.06,301.2
ST2,Stable,ST2 S2,dark,1.5,2023-07-11,14:37:49,14:40:50,2023-07-11 14:38:00,2023-07-11 14:39:15,-9.09,<0.0001,0.000007,HMR,38.32,<0.0001,0.0048,LM,28.06,301.2
ST2,Stable,ST2 S2,soil,pvc,2023-07-11,14:26:23,14:30:01,2023-07-11 14:28:15,2023-07-11 14:30:00,-1.49,<0.0001,0.000001,LM,-0.15,<0.0001,0.0035,LM,28.06,301.2
ST2,Stable,ST2 S3,clear,1.5,2023-07-11,14:48:40,14:51:41,2023-07-11 14:49:00,2023-07-11 14:51:30,30.53,<0.0001,0.000004,HMR,-64.94,<0.0001,0.0179,HMR,28.06,301.2
ST2,Stable,ST2 S3,dark,1.5,2023-07-11,14:52:52,14:55:53,2023-07-11 14:53:45,2023-07-11 14:55:45,-70.00,<0.0001,0.000009,HMR,58.95,<0.0001,0.0273,HMR,28.06,301.2
ST2,Stable,ST2 S3,soil,pvc,2023-07-11,14:43:01,14:46:02,2023-07-11 14:43:30,2023-07-11 14:46:00,-9.54,<0.0001,0.000001,LM,-0.16,0.558,0.0056,LM,28.06,301.2
ST2,Unstable,ST2 U1,clear,1.5,2023-07-11,13:30:45,13:33:45,2023-07-11 13:31:30,2023-07-11 13:33:45,-30.14,<0.0001,0.000002,LM,-35.34,<0.0001,0.0063,LM,28.06,301.2
ST2,Unstable,ST2 U1,dark,1.5,2023-07-11,13:35:15,13:38:15,2023-07-11 13:35:30,2023-07-11 13:37:15,-29.17,<0.0001,0.000001,LM,29.99,<0.0001,0.0062,LM,28.06,301.2
ST2,Unstable,ST2 U1,soil,pvc,2023-07-11,13:24:13,13:27:20,2023-07-11 13:24:30,2023-07-11 13:27:15,30.82,<0.0001,0.000006,HMR,-1.03,<0.0001,0.0024,LM,28.06,301.2
ST2,Unstable,ST2 U2,clear,1.5,2023-07-11,14:15:31,14:18:37,2023-07-11 14:16:00,2023-07-11 14:18:15,5.91,<0.0001,0.000001,LM,-22.65,<0.0001,0.0054,LM,28.06,301.2
ST2,Unstable,ST2 U2,dark,1.5,2023-07-11,14:19:49,14:23:04,2023-07-11 14:20:00,2023-07-11 14:22:00,-29.17,<0.0001,0.000001,LM,29.99,<0.0001,0.0062,LM,28.06,301.2
ST2,Unstable,ST2 U2,soil,pvc,2023-07-11,14:08:29,14:11:30,2023-07-11 14:08:45,2023-07-11 14:11:30,44.67,<0.0001,0.000015,HMR,19.85,<0.0001,0.0220,HMR,28.06,301.2
ST2,Unstable,ST2 U3,clear,1.5,2023-07-11,15:05:39,15:08:41,2023-07-11 15:06:30,2023-07-11 15:08:30,-62.39,<0.0001,0.000002,LM,-54.80,-54.8,0.0283,HMR,28.06,301.2
ST2,Unstable,ST2 U3,dark,1.5,2023-07-11,15:10:41,15:13:46,2023-07-11 15:11:15,2023-07-11 15:13:30,-27.46,<0.0001,0.000000,LM,34.58,<0.0001,0.0070,LM,28.06,301.2
ST2,Unstable,ST2 U3,soil,pvc,2023-07-11,15:00:18,15:03:20,2023-07-11 15:00:45,2023-07-11 15:03:15,13.90,<0.0001,0.000009,HMR,16.63,0.000382,0.0966,HMR,28.06,301.2
A1,B1,A1 B1,,bucket,2023-07-06,,,,,,,,,,,,,,
A1,B2,A1 B2,,bucket,2023-07-06,,,,,,,,,,,,,,
A1,B3,A1 B3,,bucket,2023-07-06,,,,,,,,,,,,,,
A1,B4,A1 B4,,bucket,2023-07-06,,,,,,,,,,,,,,
A2,B1,A2 B1,,bucket,2023-07-06,15:51:50,15:55:29,2023-07-06 15:52:00,2023-07-06 15:55:15,16.08,<0.0001,0.000002,LM,-6.92,<0.0001,0.0083,LM,32.22,305.4
A2,B2,A2 B2,,bucket,2023-07-06,15:46:31,15:50:03,2023-07-06 15:47:00,2023-07-06 15:49:45,-0.33,0.00364,0.000003,LM,-23.01,0.00508,0.1970,HMR,32.22,305.4
A2,B3,A2 B3,,bucket,2023-07-06,15:34:59,15:38:13,2023-07-06 15:35:15,2023-07-06 15:38:00,2.56,<0.0001,0.000002,LM,-7.12,<0.0001,0.0076,LM,32.78,305.9
A2,B4,A2 B4,,bucket,2023-07-06,15:41:10,15:44:33,2023-07-06 15:41:30,2023-07-06 15:44:15,-3.44,<0.0001,0.000005,LM,0.19,0.693,0.0116,LM,32.78,305.9
A3,B1,A3 B1,,bucket,2023-07-06,13:45:26,13:50:00,2023-07-06 13:45:45,2023-07-06 13:49:45,-1.10,<0.0001,0.000002,LM,-2.35,<0.0001,0.0051,LM,33.88,307.0
A3,B2,A3 B2,,bucket,2023-07-06,13:55:47,14:01:30,2023-07-06 13:58:00,2023-07-06 14:01:15,1.32,<0.0001,0.000004,LM,-1.74,<0.0001,0.0084,LM,33.88,307.0
A3,B3,A3 B3,,bucket,2023-07-06,14:24:13,14:30:35,2023-07-06 14:24:30,2023-07-06 14:30:15,4.16,<0.0001,0.000000,LM,-44.08,<0.0001,0.2650,HMR,33.88,307.0
A3,B4,A3 B4,,bucket,2023-07-06,14:16:12,14:20:45,2023-07-06 14:16:30,2023-07-06 14:20:15,9.44,<0.0001,0.000004,LM,4.80,<0.0001,0.0081,LM,33.88,307.0
A4,B1,A4 B1,,bucket,2023-07-06,14:58:37,15:02:32,2023-07-06 14:58:45,2023-07-06 15:02:15,14.97,<0.0001,0.000031,HMR,2.52,<0.0001,0.0081,LM,32.78,305.9
A4,B2,A4 B2,,bucket,2023-07-06,15:05:24,15:08:45,2023-07-06 15:05:45,2023-07-06 15:08:30,6.55,<0.0001,0.000006,LM,1.50,0.0258,0.0125,LM,32.78,305.9
A4,B3,A4 B3,,bucket,2023-07-06,15:10:30,15:13:50,2023-07-06 15:10:45,2023-07-06 15:13:30,6.03,<0.0001,0.000001,LM,-4.52,<0.0001,0.0065,LM,32.78,305.9
A4,B4,A4 B4,,bucket,2023-07-06,15:17:22,15:19:32,2023-07-06 15:17:45,2023-07-06 15:19:15,-21.71,0.000787,0.000152,LM,-7.42,0.2,0.1400,LM,32.78,305.9
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
